Respondent,Scenario,ScenarioNumber,ScenarioLabel,Question,QuestionType,ResponseText,SourceDate,FollowupNeeded,Status,Version,ChangeNote
R001,Scenario 1 - Route to AOA,1,Route to AOA,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,"Optimal terrain analysis, particularly identifying areas exceeding original equipment manufacturer-stipulated avoidance or abort angles.",2025-10-06,,Draft,v0.1,Initial merge
R001,Scenario 1 - Route to AOA,1,Route to AOA,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,"Current and tidal stream predictions, especially East Australian Current (EAC) influence.",2025-10-06,,Draft,v0.1,Initial merge
R001,Scenario 1 - Route to AOA,1,Route to AOA,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,"Input speed requirements (e.g., XX mps) to achieve mission objectives",2025-10-06,,Draft,v0.1,Initial merge
R001,Scenario 1 - Route to AOA,1,Route to AOA,Q2 - What estimated factors should be considered?,Route Evaluation,"Acoustic positioning limitations (e.g., HiPAP range).",2025-10-06,,Draft,v0.1,Initial merge
R001,Scenario 1 - Route to AOA,1,Route to AOA,Q2 - What estimated factors should be considered?,Route Evaluation,GPS fix availability (including surfacing protocols if permissible).,2025-10-06,,Draft,v0.1,Initial merge
R001,Scenario 1 - Route to AOA,1,Route to AOA,Q2 - What estimated factors should be considered?,Route Evaluation,Battery life and endurance of UUVs.,2025-10-06,,Draft,v0.1,Initial merge
R001,Scenario 1 - Route to AOA,1,Route to AOA,Q2 - What estimated factors should be considered?,Route Evaluation,Turnaround time and coordination of multiple UUVs,2025-10-06,,Draft,v0.1,Initial merge
R001,Scenario 1 - Route to AOA,1,Route to AOA,Q3 - What guidance can be provided regarding the estimation approach?,Route Evaluation,Use of standard deviation limits to define acceptable variance in route planning.,2025-10-06,,Draft,v0.1,Initial merge
R001,Scenario 1 - Route to AOA,1,Route to AOA,Q3 - What guidance can be provided regarding the estimation approach?,Route Evaluation,Incorporation of environmental uncertainty models to refine estimations.,2025-10-06,,Draft,v0.1,Initial merge
R001,Scenario 1 - Route to AOA,1,Route to AOA,Q4 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating risks for a route?,Risk Evaluation,GPS-denied and acoustically denied environments.,2025-10-06,,Draft,v0.1,Initial merge
R001,Scenario 1 - Route to AOA,1,Route to AOA,Q4 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating risks for a route?,Risk Evaluation,"Sensor failure scenarios (e.g., Doppler Velocity Log failure) and resulting off-track drift potential.",2025-10-06,,Draft,v0.1,Initial merge
R001,Scenario 1 - Route to AOA,1,Route to AOA,Q4 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating risks for a route?,Risk Evaluation,"Surfacing for GPS fix in high-traffic areas (e.g., shipping channels).",2025-10-06,,Draft,v0.1,Initial merge
R001,Scenario 1 - Route to AOA,1,Route to AOA,"Q5 - When evaluating risks, what specific risks should the system flag?",Risk Evaluation,Navigation drift in confined or choke-point waters. Sensor degradation or failure.,2025-10-06,,Draft,v0.1,Initial merge
R001,Scenario 1 - Route to AOA,1,Route to AOA,"Q5 - When evaluating risks, what specific risks should the system flag?",Risk Evaluation,"Environmental anomalies (e.g., unexpected currents, seabed features)",2025-10-06,,Draft,v0.1,Initial merge
R001,Scenario 1 - Route to AOA,1,Route to AOA,"Q6 - What test scenarios and supporting data does the system  need to provide to support mission planners in recording mission planning  data for future review, reuse,  or refinement?",Data Records,"Logging of all route decisions, sensor performance, and environmental conditions.",2025-10-06,,Draft,v0.1,Initial merge
R001,Scenario 1 - Route to AOA,1,Route to AOA,"Q6 - What test scenarios and supporting data does the system  need to provide to support mission planners in recording mission planning  data for future review, reuse,  or refinement?",Data Records,Timestamped mission events and deviations.,2025-10-06,,Draft,v0.1,Initial merge
R001,Scenario 1 - Route to AOA,1,Route to AOA,"Q6 - What test scenarios and supporting data does the system  need to provide to support mission planners in recording mission planning  data for future review, reuse,  or refinement?",Data Records,Integration with post-mission analysis tools for feedback into future planning cycles.,2025-10-06,,Draft,v0.1,Initial merge
R001,Scenario 2 - Feature Detection,2,Feature Detection,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,Swept-channel survey planning with 200m width constraints.,2025-10-06,,Draft,v0.1,Initial merge
R001,Scenario 2 - Feature Detection,2,Feature Detection,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,"MBES coverage maps showing resolution, overlap, and gaps.",2025-10-06,,Draft,v0.1,Initial merge
R001,Scenario 2 - Feature Detection,2,Feature Detection,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,"Time-on-task estimates based on UUV speed, swath width, and environmental conditions.",2025-10-06,,Draft,v0.1,Initial merge
R001,Scenario 2 - Feature Detection,2,Feature Detection,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,Terrain complexity and seabed gradient data to assess survey feasibility,2025-10-06,,Draft,v0.1,Initial merge
R001,Scenario 2 - Feature Detection,2,Feature Detection,Q2 - What estimated factors should be considered?,Route Evaluation,MBES swath width vs depth profile.,2025-10-06,,Draft,v0.1,Initial merge
R001,Scenario 2 - Feature Detection,2,Feature Detection,Q2 - What estimated factors should be considered?,Route Evaluation,Survey speed vs data quality trade-offs.,2025-10-06,,Draft,v0.1,Initial merge
R001,Scenario 2 - Feature Detection,2,Feature Detection,Q2 - What estimated factors should be considered?,Route Evaluation,"UUV altitude, pitch, and roll stability.",2025-10-06,,Draft,v0.1,Initial merge
R001,Scenario 2 - Feature Detection,2,Feature Detection,Q2 - What estimated factors should be considered?,Route Evaluation,"Environmental factors (e.g., turbidity, seabed composition, acoustic interference).",2025-10-06,,Draft,v0.1,Initial merge
R001,Scenario 2 - Feature Detection,2,Feature Detection,Q2 - What estimated factors should be considered?,Route Evaluation,Sensor calibration status and historical performance.,2025-10-06,,Draft,v0.1,Initial merge
R001,Scenario 2 - Feature Detection,2,Feature Detection,Q3 - What guidance can be provided regarding the estimation approach?,Route Evaluation,Use bathymetric uncertainty models to estimate feature detection confidence.,2025-10-06,,Draft,v0.1,Initial merge
R001,Scenario 2 - Feature Detection,2,Feature Detection,Q3 - What guidance can be provided regarding the estimation approach?,Route Evaluation,Apply standard deviation thresholds for feature classification reliability.,2025-10-06,,Draft,v0.1,Initial merge
R001,Scenario 2 - Feature Detection,2,Feature Detection,Q3 - What guidance can be provided regarding the estimation approach?,Route Evaluation,Reference historical MBES datasets under similar conditions to benchmark performance.,2025-10-06,,Draft,v0.1,Initial merge
R001,Scenario 2 - Feature Detection,2,Feature Detection,Q3 - What guidance can be provided regarding the estimation approach?,Route Evaluation,Incorporate predictive modelling for sonar performance based on mission parameters,2025-10-06,,Draft,v0.1,Initial merge
R001,Scenario 2 - Feature Detection,2,Feature Detection,Q4 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating risks for a route?,Risk Evaluation,Risk of incomplete coverage due to terrain shadowing or sensor limitations.,2025-10-06,,Draft,v0.1,Initial merge
R001,Scenario 2 - Feature Detection,2,Feature Detection,Q4 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating risks for a route?,Risk Evaluation,Data dropouts from MBES due to environmental interference or system faults.,2025-10-06,,Draft,v0.1,Initial merge
R001,Scenario 2 - Feature Detection,2,Feature Detection,Q4 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating risks for a route?,Risk Evaluation,Navigation drift affecting survey alignment and data integrity.,2025-10-06,,Draft,v0.1,Initial merge
