Respondent,Scenario,ScenarioNumber,ScenarioLabel,Question,QuestionType,ResponseText,SourceDate,FollowupNeeded,Status,Version,ChangeNote
MGWU,Scenario 1 - Route to AOA,1,Route to AOA,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,surface/subsea traffic of route,2025-10-06,,Draft,v0.1,Initial merge
MGWU,Scenario 1 - Route to AOA,1,Route to AOA,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,depth/slope or route and AO,2025-10-06,,Draft,v0.1,Initial merge
MGWU,Scenario 1 - Route to AOA,1,Route to AOA,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,equipment limitations of in service capabilities,2025-10-06,,Draft,v0.1,Initial merge
MGWU,Scenario 1 - Route to AOA,1,Route to AOA,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,bottom texture or route and AO,2025-10-06,,Draft,v0.1,Initial merge
MGWU,Scenario 1 - Route to AOA,1,Route to AOA,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,seafloor classification/infrastructure of route and AO,2025-10-06,,Draft,v0.1,Initial merge
MGWU,Scenario 1 - Route to AOA,1,Route to AOA,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,ephemerals/current/tides of route and AO,2025-10-06,,Draft,v0.1,Initial merge
MGWU,Scenario 1 - Route to AOA,1,Route to AOA,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,threat assessment/cyber risk of mission,2025-10-06,,Draft,v0.1,Initial merge
MGWU,Scenario 1 - Route to AOA,1,Route to AOA,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,timings (hard left/right),2025-10-06,,Draft,v0.1,Initial merge
MGWU,Scenario 1 - Route to AOA,1,Route to AOA,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,water column data of route and AO,2025-10-06,,Draft,v0.1,Initial merge
MGWU,Scenario 1 - Route to AOA,1,Route to AOA,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,launch and recovery locations and parameters,2025-10-06,,Draft,v0.1,Initial merge
MGWU,Scenario 1 - Route to AOA,1,Route to AOA,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,sensor range fitted to vehicle,2025-10-06,,Draft,v0.1,Initial merge
