PredictedParent,has_protected,has_conflict,has_cross_conflict,count
Communications And Control,False,False,False,1
Data Products And Requirements,False,False,False,1
Environmental And Oceanographic Conditions,False,False,False,2
Historical And Contextual Data,False,False,False,4
Mission Parameters And Objectives,False,False,False,1
Navigation And Positioning,False,False,False,3
Terrain And Bathymetry,False,False,False,3
Threats And Risk Management,False,False,False,5
Vehicle Capabilities And Constraints,False,False,False,4
uncategorised,False,False,False,6
