requirement_id,requirement_text,taxonomy_domain,domain_concept,combined_score,keyword_score,semantic_score,classification
L01,The system shall support safe deployment of the UUV from a surface vessel under operational marine conditions,NavigationAndPositioning,TrafficAndSurfaceFixRisks,0.492,53.3,0.474,discard
L01,The system shall support safe deployment of the UUV from a surface vessel under operational marine conditions,EstimationAndUncertaintyModelling,RiskFusionAndEffectiveness,0.475,40.6,0.505,discard
L01,The system shall support safe deployment of the UUV from a surface vessel under operational marine conditions,StandardsAndGovernance,CapacityAndScalability,0.466,37.7,0.505,discard
L02,The UUV shall autonomously transition from launch to mission mode when in water,StandardsAndGovernance,CapacityAndScalability,0.382,37.6,0.384,discard
L02,The UUV shall autonomously transition from launch to mission mode when in water,OperationalLogistics,Deployment,0.375,46.8,0.335,discard
L02,The UUV shall autonomously transition from launch to mission mode when in water,TestAndEvaluationScenarios,SystemBenchmarks,0.368,42.9,0.341,discard
L03,The UUV shall obtain an initial navigation fix before submergence,NavigationAndPositioning,AccuracyAndHazards,0.434,43.9,0.431,discard
L03,The UUV shall obtain an initial navigation fix before submergence,NavigationAndPositioning,FailureScenarios,0.426,35.4,0.458,discard
L03,The UUV shall obtain an initial navigation fix before submergence,StandardsAndGovernance,CapacityAndScalability,0.369,42.4,0.346,discard
L04,Pre-dive diagnostic checks between vessel and UUV shall be performed and confirmed before launch proceeds,MissionAuditAndTraceability,ChecklistAndVerification,0.503,42.5,0.536,discard
L04,Pre-dive diagnostic checks between vessel and UUV shall be performed and confirmed before launch proceeds,TestAndEvaluationScenarios,SystemBenchmarks,0.465,45.4,0.47,discard
L04,Pre-dive diagnostic checks between vessel and UUV shall be performed and confirmed before launch proceeds,NavigationAndPositioning,TrafficAndSurfaceFixRisks,0.434,40.7,0.445,discard
L05,The interface shall display GO/NO-GO status for environmental/operational launch criteria,TestAndEvaluationScenarios,SystemBenchmarks,0.434,39.3,0.451,discard
L05,The interface shall display GO/NO-GO status for environmental/operational launch criteria,VehicleCapabilitiesAndConstraints,OperationalLimits,0.414,46.5,0.393,discard
L05,The interface shall display GO/NO-GO status for environmental/operational launch criteria,MissionAuditAndTraceability,MissionLogging,0.396,40.2,0.393,discard
L06,"The system shall restrict launch locations based on navigational hazards, EEZ, and restricted zones",NavigationAndPositioning,AccuracyAndHazards,0.611,57.1,0.628,discard
L06,"The system shall restrict launch locations based on navigational hazards, EEZ, and restricted zones",VehicleCapabilitiesAndConstraints,OperationalLimits,0.509,47.1,0.525,discard
L06,"The system shall restrict launch locations based on navigational hazards, EEZ, and restricted zones",ThreatsAndRiskManagement,Hazards,0.494,50.7,0.488,discard
L07,"Launch procedures shall account for site-specific current, tide, and traffic conditions",EnvironmentalAndOceanographicConditions,PhysicalProcesses,0.431,47.5,0.412,discard
L07,"Launch procedures shall account for site-specific current, tide, and traffic conditions",MissionAuditAndTraceability,MissionLogging,0.428,49.2,0.401,discard
L07,"Launch procedures shall account for site-specific current, tide, and traffic conditions",OperationalLogistics,AccessAndSupport,0.418,45.6,0.401,discard
L08,"The system shall provide maximum allowable wind, swell, and wave condition settings for safe launch",EnvironmentalAndOceanographicConditions,PhysicalProcesses,0.459,51.2,0.437,discard
L08,"The system shall provide maximum allowable wind, swell, and wave condition settings for safe launch",VehicleCapabilitiesAndConstraints,OperationalLimits,0.429,45.3,0.419,discard
L08,"The system shall provide maximum allowable wind, swell, and wave condition settings for safe launch",NavigationAndPositioning,AccuracyAndHazards,0.429,42.3,0.432,discard
L09,Buoyancy and environmental parameters near launch (including salinity and temperature) shall be monitored,EnvironmentalAndOceanographicConditions,MeasurementAndModels,0.45,39.3,0.474,discard
L09,Buoyancy and environmental parameters near launch (including salinity and temperature) shall be monitored,EnvironmentalAndOceanographicConditions,WaterProperties,0.439,48.4,0.419,discard
L09,Buoyancy and environmental parameters near launch (including salinity and temperature) shall be monitored,TestAndEvaluationScenarios,SystemBenchmarks,0.403,41.1,0.4,discard
L10,Day/night or light-level operational requirements shall be user configurable,VehicleCapabilitiesAndConstraints,PerformanceConstraints,0.441,53.2,0.402,discard
L10,Day/night or light-level operational requirements shall be user configurable,VehicleCapabilitiesAndConstraints,OperationalLimits,0.428,42.6,0.429,discard
L10,Day/night or light-level operational requirements shall be user configurable,TestAndEvaluationScenarios,SystemBenchmarks,0.412,50.0,0.375,discard
L11,Launch location selection tools shall factor proximity to subsea objectives and launch vessel maneuverability,OperationalLogistics,AccessAndSupport,0.501,51.0,0.497,discard
L11,Launch location selection tools shall factor proximity to subsea objectives and launch vessel maneuverability,VehicleCapabilitiesAndConstraints,DepthLimits,0.436,39.3,0.454,discard
L11,Launch location selection tools shall factor proximity to subsea objectives and launch vessel maneuverability,VehicleCapabilitiesAndConstraints,OperationalLimits,0.427,48.2,0.403,discard
L12,The UUV shall maintain stable communications with the vessel during pre-launch and immersion,StandardsAndGovernance,CapacityAndScalability,0.473,44.8,0.484,discard
L12,The UUV shall maintain stable communications with the vessel during pre-launch and immersion,VehicleCapabilitiesAndConstraints,PerformanceConstraints,0.42,51.8,0.378,discard
L12,The UUV shall maintain stable communications with the vessel during pre-launch and immersion,TestAndEvaluationScenarios,SystemBenchmarks,0.414,43.0,0.407,discard
S01,"The UUV shall accelerate efficiently on the surface and initiate a safe, optimal dive profile",VehicleCapabilitiesAndConstraints,DepthLimits,0.46,38.7,0.491,discard
S01,"The UUV shall accelerate efficiently on the surface and initiate a safe, optimal dive profile",StandardsAndGovernance,CapacityAndScalability,0.418,48.0,0.392,discard
S01,"The UUV shall accelerate efficiently on the surface and initiate a safe, optimal dive profile",NavigationAndPositioning,AccuracyAndHazards,0.366,39.1,0.355,discard
S02,"Mission control shall allow configuration of dive angle, duration, and depth",MissionParametersAndObjectives,Objectives,0.488,49.1,0.487,discard
S02,"Mission control shall allow configuration of dive angle, duration, and depth",VehicleCapabilitiesAndConstraints,DepthLimits,0.47,42.3,0.491,discard
S02,"Mission control shall allow configuration of dive angle, duration, and depth",VehicleCapabilitiesAndConstraints,OperationalLimits,0.468,49.5,0.457,discard
S03,The UUV shall adjust power and speed to maintain dive efficiency and safety,VehicleCapabilitiesAndConstraints,DepthLimits,0.432,39.4,0.448,discard
