mission_requirement_id,mission_requirement_text,project_requirement_id,project_requirement_name,combined_score,semantic_score,keyword_score,classification
L01,The system shall support safe deployment of the UUV from a surface vessel under operational marine conditions,AURRP-18,Obstacle Avoidance,0.336,0.293,43.6,discard
L01,The system shall support safe deployment of the UUV from a surface vessel under operational marine conditions,AURRP-03,Contribute to the UUV navigation,0.329,0.289,42.2,discard
L01,The system shall support safe deployment of the UUV from a surface vessel under operational marine conditions,AURRP-12,Cyber worthiness,0.303,0.261,40.0,discard
L02,The UUV shall autonomously transition from launch to mission mode when in water,AURRP-03,Contribute to the UUV navigation,0.363,0.318,46.7,discard
L02,The UUV shall autonomously transition from launch to mission mode when in water,AURRP-01,Route Planning,0.342,0.292,45.9,discard
L02,The UUV shall autonomously transition from launch to mission mode when in water,AURRP-07,User Suitability,0.338,0.257,52.9,discard
L03,The UUV shall obtain an initial navigation fix before submergence,AURRP-03,Contribute to the UUV navigation,0.389,0.368,43.7,discard
L03,The UUV shall obtain an initial navigation fix before submergence,AURRP-16,Route Optimisation,0.321,0.296,37.9,discard
L03,The UUV shall obtain an initial navigation fix before submergence,AURRP-01,Route Planning,0.293,0.253,38.7,discard
L04,Pre-dive diagnostic checks between vessel and UUV shall be performed and confirmed before launch proceeds,AURRP-03,Contribute to the UUV navigation,0.281,0.233,39.3,discard
L04,Pre-dive diagnostic checks between vessel and UUV shall be performed and confirmed before launch proceeds,AURRP-01,Route Planning,0.251,0.189,39.6,discard
L04,Pre-dive diagnostic checks between vessel and UUV shall be performed and confirmed before launch proceeds,AURRP-16,Route Optimisation,0.246,0.193,36.8,discard
L05,The interface shall display GO/NO-GO status for environmental/operational launch criteria,AURRP-03,Contribute to the UUV navigation,0.371,0.356,40.6,discard
L05,The interface shall display GO/NO-GO status for environmental/operational launch criteria,AURRP-17,Adaptability to uncertain environments,0.341,0.276,49.3,discard
L05,The interface shall display GO/NO-GO status for environmental/operational launch criteria,AURRP-16,Route Optimisation,0.337,0.328,35.7,discard
L06,"The system shall restrict launch locations based on navigational hazards, EEZ, and restricted zones",AURRP-03,Contribute to the UUV navigation,0.438,0.412,49.8,discard
L06,"The system shall restrict launch locations based on navigational hazards, EEZ, and restricted zones",AURRP-18,Obstacle Avoidance,0.404,0.411,38.7,discard
L06,"The system shall restrict launch locations based on navigational hazards, EEZ, and restricted zones",AURRP-16,Route Optimisation,0.387,0.421,30.7,discard
L07,"Launch procedures shall account for site-specific current, tide, and traffic conditions",AURRP-16,Route Optimisation,0.402,0.376,46.4,discard
L07,"Launch procedures shall account for site-specific current, tide, and traffic conditions",AURRP-04,Ingest Environmental Data,0.374,0.378,36.5,discard
L07,"Launch procedures shall account for site-specific current, tide, and traffic conditions",AURRP-03,Contribute to the UUV navigation,0.334,0.301,41.0,discard
L08,"The system shall provide maximum allowable wind, swell, and wave condition settings for safe launch",AURRP-04,Ingest Environmental Data,0.377,0.371,39.0,discard
L08,"The system shall provide maximum allowable wind, swell, and wave condition settings for safe launch",AURRP-03,Contribute to the UUV navigation,0.352,0.329,40.6,discard
