ResponseID,Respondent,Scenario,ScenarioNumber,ScenarioLabel,Question,QuestionType,ResponseText,SourceDate,FollowupNeeded,Status,Version,ChangeNote,PredictedChilds,PredictedParents,ChangeDate
1,R001,Scenario 1 - Route to AOA,1,Route to AOA,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,"Optimal terrain analysis, particularly identifying areas exceeding original equipment manufacturer-stipulated avoidance or abort angles.",2025-10-06,,Draft,v0.2,Initial classification,Surface Features,Terrain And Bathymetry,2025-10-12
2,R001,Scenario 1 - Route to AOA,1,Route to AOA,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,"Current and tidal stream predictions, especially East Australian Current (EAC) influence.",2025-10-06,,Draft,v0.2,Initial classification,Physical Processes,Environmental And Oceanographic Conditions,2025-10-12
3,R001,Scenario 1 - Route to AOA,1,Route to AOA,"Q1 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating route options, based on calculable or estimable factors (e.g., time, usage)?",Route Evaluation,"Input speed requirements (e.g., XX mps) to achieve mission objectives",2025-10-06,,Draft,v0.2,Initial classification,Objectives,Mission Parameters And Objectives,2025-10-12
4,R001,Scenario 1 - Route to AOA,1,Route to AOA,Q2 - What estimated factors should be considered?,Route Evaluation,"Acoustic positioning limitations (e.g., HiPAP range).",2025-10-06,,Draft,v0.2,Initial classification,Performance|uncategorised,Vehicle Capabilities And Constraints|uncategorised,2025-10-12
5,R001,Scenario 1 - Route to AOA,1,Route to AOA,Q2 - What estimated factors should be considered?,Route Evaluation,GPS fix availability (including surfacing protocols if permissible).,2025-10-06,,Draft,v0.2,Initial classification,Navigation Systems,Navigation And Positioning,2025-10-12
6,R001,Scenario 1 - Route to AOA,1,Route to AOA,Q2 - What estimated factors should be considered?,Route Evaluation,Battery life and endurance of UUVs.,2025-10-06,,Draft,v0.2,Initial classification,Performance,Vehicle Capabilities And Constraints,2025-10-12
7,R001,Scenario 1 - Route to AOA,1,Route to AOA,Q2 - What estimated factors should be considered?,Route Evaluation,Turnaround time and coordination of multiple UUVs,2025-10-06,,Draft,v0.1,Initial merge,uncategorised,uncategorised,
8,R001,Scenario 1 - Route to AOA,1,Route to AOA,Q3 - What guidance can be provided regarding the estimation approach?,Route Evaluation,Use of standard deviation limits to define acceptable variance in route planning.,2025-10-06,,Draft,v0.2,Initial classification,Quality And Confidence,Terrain And Bathymetry,2025-10-12
9,R001,Scenario 1 - Route to AOA,1,Route to AOA,Q3 - What guidance can be provided regarding the estimation approach?,Route Evaluation,Incorporation of environmental uncertainty models to refine estimations.,2025-10-06,,Draft,v0.2,Initial classification,Environmental Context,Environmental And Oceanographic Conditions,2025-10-12
10,R001,Scenario 1 - Route to AOA,1,Route to AOA,Q4 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating risks for a route?,Risk Evaluation,GPS-denied and acoustically denied environments.,2025-10-06,,Draft,v0.1,Initial merge,not_classified,not_classified,
11,R001,Scenario 1 - Route to AOA,1,Route to AOA,Q4 - What test scenarios and supporting data does the system  need to provide to support mission planners in evaluating risks for a route?,Risk Evaluation,"Sensor failure scenarios (e.g., Doppler Velocity Log failure) and resulting off-track drift potential.",2025-10-06,,Draft,v0.1,Initial merge,not_classified,not_classified,
